no,date,workout,duration,category,year,month,week,day
1,2017-01-01,Rest,0,rest,2017,1,52,1
2,2017-01-02,Rest,0,rest,2017,1,1,2
3,2017-01-03,Rest,0,rest,2017,1,1,3
4,2017-01-04,Rest,0,rest,2017,1,1,4
5,2017-01-05,Chest,68,chest,2017,1,1,5
6,2017-01-06,Back,48,back,2017,1,1,6
7,2017-01-07,Running,24,cardio,2017,1,1,7
8,2017-01-08,Other,52,other,2017,1,1,8
9,2017-01-09,Back,44,back,2017,1,2,9
10,2017-01-10,Running,24,cardio,2017,1,2,10
11,2017-01-11,Chest,71,chest,2017,1,2,11
12,2017-01-12,Back,44,back,2017,1,2,12
13,2017-01-13,Running,24,cardio,2017,1,2,13
14,2017-01-14,Other,66,other,2017,1,2,14
15,2017-01-15,Back,45,back,2017,1,2,15
16,2017-01-16,Running,24,cardio,2017,1,3,16
17,2017-01-17,Chest,49,chest,2017,1,3,17
18,2017-01-18,Back,60,back,2017,1,3,18
19,2017-01-19,Running,24,cardio,2017,1,3,19
20,2017-01-20,Other,38,other,2017,1,3,20
21,2017-01-21,Back,39,back,2017,1,3,21
22,2017-01-22,Running,46,cardio,2017,1,3,22
23,2017-01-23,Back,50,back,2017,1,4,23
24,2017-01-24,Chest,60,chest,2017,1,4,24
25,2017-01-25,Running,47,cardio,2017,1,4,25
26,2017-01-26,Back,45,back,2017,1,4,26
27,2017-01-27,Chest,45,chest,2017,1,4,27
28,2017-01-28,Running,49,cardio,2017,1,4,28
29,2017-01-29,Back,41,back,2017,1,4,29
30,2017-01-30,Rest,0,rest,2017,1,5,30
31,2017-01-31,Chest,47,chest,2017,1,5,31
32,2017-02-01,Rest,0,rest,2017,2,5,1
33,2017-02-02,Running,38,cardio,2017,2,5,2
34,2017-02-03,Back,51,back,2017,2,5,3
35,2017-02-04,Chest,43,chest,2017,2,5,4
36,2017-02-05,Running,35,cardio,2017,2,5,5
37,2017-02-06,Back,40,back,2017,2,6,6
38,2017-02-07,Chest,67,chest,2017,2,6,7
39,2017-02-08,Back,43,back,2017,2,6,8
40,2017-02-09,Rest,0,rest,2017,2,6,9
41,2017-02-10,Chest,44,chest,2017,2,6,10
42,2017-02-11,Running,46,cardio,2017,2,6,11
43,2017-02-12,Back,44,back,2017,2,6,12
44,2017-02-13,Chest,54,chest,2017,2,7,13
45,2017-02-14,Running,47,cardio,2017,2,7,14
46,2017-02-15,Back,52,back,2017,2,7,15
47,2017-02-16,Chest,45,chest,2017,2,7,16
48,2017-02-17,Back,49,back,2017,2,7,17
49,2017-02-18,Rest,0,rest,2017,2,7,18
50,2017-02-19,Running,26,cardio,2017,2,7,19
51,2017-02-20,Back,49,back,2017,2,8,20
52,2017-02-21,Chest,47,chest,2017,2,8,21
53,2017-02-22,Rest,0,rest,2017,2,8,22
54,2017-02-23,Back,43,back,2017,2,8,23
55,2017-02-24,Running,46,cardio,2017,2,8,24
56,2017-02-25,Rest,0,rest,2017,2,8,25
57,2017-02-26,Back,39,back,2017,2,8,26
58,2017-02-27,Chest,38,chest,2017,2,9,27
59,2017-02-28,Running,47,cardio,2017,2,9,28
60,2017-03-01,Back,49,back,2017,3,9,1
61,2017-03-02,Chest,56,chest,2017,3,9,2
62,2017-03-03,Running,46,cardio,2017,3,9,3
63,2017-03-04,Back,44,back,2017,3,9,4
64,2017-03-05,Chest,42,chest,2017,3,9,5
65,2017-03-06,Running,45,cardio,2017,3,10,6
66,2017-03-07,Back,43,back,2017,3,10,7
67,2017-03-08,Chest,46,chest,2017,3,10,8
68,2017-03-09,Rest,0,rest,2017,3,10,9
69,2017-03-10,Back,40,back,2017,3,10,10
70,2017-03-11,Chest,37,chest,2017,3,10,11
71,2017-03-12,Back,41,back,2017,3,10,12
72,2017-03-13,Chest,45,chest,2017,3,11,13
73,2017-03-14,Back,41,back,2017,3,11,14
74,2017-03-15,Chest,45,chest,2017,3,11,15
75,2017-03-16,Back,52,back,2017,3,11,16
76,2017-03-17,Rest,0,rest,2017,3,11,17
77,2017-03-18,Chest,47,chest,2017,3,11,18
78,2017-03-19,Back,62,back,2017,3,11,19
79,2017-03-20,Chest,51,chest,2017,3,12,20
80,2017-03-21,Rest,0,rest,2017,3,12,21
81,2017-03-22,Back,43,back,2017,3,12,22
82,2017-03-23,Chest,42,chest,2017,3,12,23
83,2017-03-24,Back,38,back,2017,3,12,24
84,2017-03-25,Chest,37,chest,2017,3,12,25
85,2017-03-26,Back,51,back,2017,3,12,26
86,2017-03-27,Chest,36,chest,2017,3,13,27
87,2017-03-28,Rest,0,rest,2017,3,13,28
88,2017-03-29,Rest,0,rest,2017,3,13,29
89,2017-03-30,Cardio,53,cardio,2017,3,13,30
90,2017-03-31,Chest,45,chest,2017,3,13,31
91,2017-04-01,Pull 2 + Cardio,92,double_workout,2017,4,13,1
92,2017-04-02,Texas + Cardio,64,double_workout,2017,4,13,2
93,2017-04-03,Rest,0,rest,2017,4,14,3
94,2017-04-04,Chest,34,chest,2017,4,14,4
95,2017-04-05,Back,41,back,2017,4,14,5
96,2017-04-06,Cardio,63,cardio,2017,4,14,6
97,2017-04-07,Back,43,back,2017,4,14,7
98,2017-04-08,Other,40,other,2017,4,14,8
99,2017-04-09,Insane Chest + Cardio,112,double_workout,2017,4,14,9
100,2017-04-10,Rest,0,rest,2017,4,15,10
101,2017-04-11,Back + Cardio,109,double_workout,2017,4,15,11
102,2017-04-12,Chest,50,chest,2017,4,15,12
103,2017-04-13,Back,46,back,2017,4,15,13
104,2017-04-14,Compound,36,compound,2017,4,15,14
105,2017-04-15,Cardio,56,cardio,2017,4,15,15
106,2017-04-16,Rest,0,rest,2017,4,15,16
107,2017-04-17,Running,41,cardio,2017,4,16,17
108,2017-04-18,Compound,50,compound,2017,4,16,18
109,2017-04-19,Back,50,back,2017,4,16,19
110,2017-04-20,Compound,46,compound,2017,4,16,20
111,2017-04-21,Chest,38,chest,2017,4,16,21
112,2017-04-22,Compound,45,compound,2017,4,16,22
113,2017-04-23,Running,25,cardio,2017,4,16,23
114,2017-04-24,Rest,0,rest,2017,4,17,24
115,2017-04-25,Back,49,back,2017,4,17,25
116,2017-04-26,Chest,37,chest,2017,4,17,26
117,2017-04-27,Running,36,cardio,2017,4,17,27
118,2017-04-28,Back,40,back,2017,4,17,28
119,2017-04-29,Chest,42,chest,2017,4,17,29
120,2017-04-30,Pull 1 + Cardio,84,double_workout,2017,4,17,30
121,2017-05-01,Chest,41,chest,2017,5,18,1
122,2017-05-02,Running,36,cardio,2017,5,18,2
123,2017-05-03,Cobra Back + Abs,51,double_workout,2017,5,18,3
124,2017-05-04,Chest,40,chest,2017,5,18,4
125,2017-05-05,Running,37,cardio,2017,5,18,5
126,2017-05-06,Back,44,back,2017,5,18,6
127,2017-05-07,Chest,39,chest,2017,5,18,7
128,2017-05-08,Back,41,back,2017,5,19,8
129,2017-05-09,Texas + Cardio,81,double_workout,2017,5,19,9
130,2017-05-10,Legs,48,legs,2017,5,19,10
131,2017-05-11,Texas + Cardio,71,double_workout,2017,5,19,11
132,2017-05-12,Chest,46,chest,2017,5,19,12
133,2017-05-13,Back,34,back,2017,5,19,13
134,2017-05-14,Compound,43,compound,2017,5,19,14
135,2017-05-15,Chest,39,chest,2017,5,20,15
136,2017-05-16,Running,32,cardio,2017,5,20,16
137,2017-05-17,Back,50,back,2017,5,20,17
138,2017-05-18,Chest + Cardio,85,double_workout,2017,5,20,18
139,2017-05-19,Compound,50,compound,2017,5,20,19
